,Average time to discovery,Classifier,Dataset,Extra Relevant record Found_0.1,Model,Recall_0.1,Recall_0.25,Recall_0.5,Recall_0.75,Recall_0.9,Work Saved over Sampling_0.95,td_1112,td_300,td_567,td_741,td_878
0,145.12790697674419,logistic,Original,0.6511627906976745,tfidf,0.7558139534883721,0.9186046511627907,1.0,1.0,1.0,0.6472805600430802,713.0,569.0,566.0,183.0,187.0
1,118.74418604651163,logistic,Original,0.7325581395348837,sbert,0.8372093023255814,0.9651162790697675,0.9883720930232558,1.0,1.0,0.8131394722670975,758.0,1138.0,117.0,74.0,56.0
2,222.27906976744185,logistic,Original,0.4883720930232558,mbert,0.5930232558139535,0.8953488372093024,0.9883720930232558,1.0,1.0,0.6042003231017771,318.0,417.0,283.0,292.0,309.0
3,158.77906976744185,logistic,Original,0.5697674418604651,muse,0.6744186046511628,0.9418604651162791,1.0,1.0,1.0,0.7049003769520732,265.0,663.0,103.0,17.0,142.0
4,243.09302325581396,logistic,Original,0.3953488372093023,mlongt5,0.5,0.8488372093023255,1.0,1.0,1.0,0.6117393645665051,98.0,245.0,65.0,27.0,33.0
5,138.24418604651163,logistic,Original,0.6395348837209303,labse,0.7441860465116279,0.9418604651162791,1.0,1.0,1.0,0.7049003769520732,538.0,564.0,102.0,7.0,6.0
6,213.1627906976744,logistic,Original,0.47674418604651164,laser,0.5813953488372093,0.9069767441860465,0.9883720930232558,1.0,1.0,0.6370490037695208,445.0,757.0,266.0,16.0,20.0
7,205.8953488372093,logistic,Original,0.45348837209302323,mpnet,0.5581395348837209,0.9186046511627907,0.9883720930232558,1.0,1.0,0.6666666666666666,468.0,1244.0,285.0,51.0,183.0
8,225.06976744186048,logistic,Original,0.4418604651162791,minilm,0.5465116279069767,0.8837209302325582,0.9883720930232558,1.0,1.0,0.6445880452342488,826.0,1171.0,199.0,68.0,203.0
9,270.0,logistic,Original,0.3023255813953488,stsb,0.4069767441860465,0.8604651162790697,0.9883720930232558,1.0,1.0,0.5945072697899838,552.0,540.0,384.0,193.0,438.0
10,134.34883720930233,logistic,English,0.6976744186046512,tfidf,0.8023255813953488,0.9534883720930233,1.0,1.0,1.0,0.7065158858373721,281.0,714.0,132.0,123.0,67.0
11,106.74418604651163,logistic,English,0.7558139534883721,sbert,0.8604651162790697,0.9767441860465116,0.9883720930232558,1.0,1.0,0.8169089929994615,191.0,971.0,45.0,36.0,56.0
12,230.87209302325581,logistic,English,0.45348837209302323,mbert,0.5581395348837209,0.8488372093023255,0.9883720930232558,1.0,1.0,0.6160473882606354,390.0,731.0,100.0,34.0,30.0
13,159.2093023255814,logistic,English,0.5697674418604651,muse,0.6744186046511628,0.9534883720930233,1.0,1.0,1.0,0.7108239095315024,203.0,577.0,98.0,24.0,186.0
14,261.0581395348837,logistic,English,0.313953488372093,mlongt5,0.4186046511627907,0.8604651162790697,1.0,1.0,1.0,0.6074313408723748,63.0,86.0,74.0,218.0,194.0
15,133.0,logistic,English,0.6395348837209303,labse,0.7441860465116279,0.9534883720930233,1.0,1.0,1.0,0.7662897145934303,312.0,484.0,20.0,6.0,11.0
16,240.8139534883721,logistic,English,0.4186046511627907,laser,0.5232558139534884,0.8372093023255814,0.9883720930232558,1.0,1.0,0.6332794830371568,364.0,650.0,166.0,33.0,35.0
17,195.90697674418604,logistic,English,0.45348837209302323,mpnet,0.5581395348837209,0.9302325581395349,1.0,1.0,1.0,0.6709746903607969,174.0,700.0,93.0,11.0,301.0
18,221.36046511627907,logistic,English,0.4418604651162791,minilm,0.5465116279069767,0.9186046511627907,0.9883720930232558,1.0,1.0,0.6639741518578353,554.0,653.0,148.0,87.0,335.0
19,261.6279069767442,logistic,English,0.32558139534883723,stsb,0.43023255813953487,0.8488372093023255,0.9883720930232558,1.0,1.0,0.620893914916532,299.0,418.0,441.0,63.0,398.0
20,200.59302325581396,logistic,Multi_1,0.6395348837209303,tfidf,0.7441860465116279,0.9069767441860465,0.9418604651162791,0.9534883720930233,0.9883720930232558,0.5228863758750674,1848.0,1543.0,1542.0,1047.0,1460.0
21,131.5,logistic,Multi_1,0.7790697674418605,sbert,0.8837209302325582,0.9534883720930233,0.9767441860465116,1.0,1.0,0.7948303715670436,766.0,1098.0,1099.0,89.0,85.0
22,239.51162790697674,logistic,Multi_1,0.47674418604651164,mbert,0.5813953488372093,0.8837209302325582,0.9883720930232558,1.0,1.0,0.5858912224017232,507.0,226.0,181.0,205.0,521.0
23,166.11627906976744,logistic,Multi_1,0.5697674418604651,muse,0.6744186046511628,0.9302325581395349,1.0,1.0,1.0,0.6812062466343565,260.0,631.0,93.0,29.0,183.0
24,268.1279069767442,logistic,Multi_1,0.3023255813953488,mlongt5,0.4069767441860465,0.8604651162790697,1.0,1.0,1.0,0.5993537964458805,340.0,396.0,388.0,168.0,166.0
25,138.4418604651163,logistic,Multi_1,0.627906976744186,labse,0.7325581395348837,0.9534883720930233,1.0,1.0,1.0,0.7102854065697362,459.0,588.0,37.0,17.0,32.0
26,226.54651162790697,logistic,Multi_1,0.45348837209302323,laser,0.5581395348837209,0.872093023255814,0.9767441860465116,1.0,1.0,0.6235864297253635,404.0,624.0,195.0,21.0,24.0
27,212.59302325581396,logistic,Multi_1,0.4186046511627907,mpnet,0.5232558139534884,0.9302325581395349,0.9883720930232558,1.0,1.0,0.6844372644049542,457.0,1330.0,138.0,22.0,303.0
28,230.74418604651163,logistic,Multi_1,0.43023255813953487,minilm,0.5348837209302325,0.9069767441860465,0.9883720930232558,1.0,1.0,0.6375875067312871,811.0,1212.0,223.0,59.0,554.0
29,259.3953488372093,logistic,Multi_1,0.32558139534883723,stsb,0.43023255813953487,0.8604651162790697,0.9883720930232558,1.0,1.0,0.5950457727517501,634.0,586.0,438.0,63.0,337.0
30,200.97674418604652,logistic,Multi_2,0.6744186046511628,tfidf,0.7790697674418605,0.9069767441860465,0.9418604651162791,0.9534883720930233,0.9883720930232558,0.48896068928379105,1847.0,1546.0,1551.0,1039.0,1428.0
31,121.25581395348837,logistic,Multi_2,0.7906976744186046,sbert,0.8953488372093024,0.9534883720930233,0.9883720930232558,1.0,1.0,0.8088314485729672,758.0,952.0,855.0,84.0,102.0
32,240.40697674418604,logistic,Multi_2,0.46511627906976744,mbert,0.5697674418604651,0.8488372093023255,0.9883720930232558,0.9883720930232558,1.0,0.5912762520193862,679.0,658.0,640.0,280.0,641.0
33,162.7325581395349,logistic,Multi_2,0.5465116279069767,muse,0.6511627906976745,0.9418604651162791,1.0,1.0,1.0,0.6935918147549811,244.0,507.0,187.0,27.0,237.0
34,254.2093023255814,logistic,Multi_2,0.3372093023255814,mlongt5,0.4418604651162791,0.872093023255814,1.0,1.0,1.0,0.5708131394722671,270.0,351.0,235.0,117.0,119.0
35,135.45348837209303,logistic,Multi_2,0.627906976744186,labse,0.7325581395348837,0.9418604651162791,1.0,1.0,1.0,0.7000538502961766,439.0,517.0,12.0,20.0,5.0
36,231.8953488372093,logistic,Multi_2,0.4186046511627907,laser,0.5232558139534884,0.8953488372093024,0.9767441860465116,1.0,1.0,0.6445880452342488,437.0,656.0,278.0,18.0,28.0
37,201.0581395348837,logistic,Multi_2,0.5,mpnet,0.6046511627906976,0.8953488372093024,0.9883720930232558,1.0,1.0,0.6418955304254174,473.0,1308.0,631.0,50.0,468.0
38,244.62790697674419,logistic,Multi_2,0.4186046511627907,minilm,0.5232558139534884,0.8488372093023255,0.9651162790697675,1.0,1.0,0.626278944534195,685.0,1116.0,1309.0,62.0,398.0
39,264.22093023255815,logistic,Multi_2,0.3488372093023256,stsb,0.45348837209302323,0.8604651162790697,1.0,1.0,1.0,0.5702746365105008,596.0,603.0,764.0,86.0,196.0
40,167.4418604651163,svm,Original,0.627906976744186,tfidf,0.7325581395348837,0.9069767441860465,0.9767441860465116,1.0,1.0,0.5988152934841141,875.0,842.0,838.0,338.0,408.0
41,121.03488372093024,svm,Original,0.7558139534883721,sbert,0.8604651162790697,0.9651162790697675,0.9883720930232558,1.0,1.0,0.8136779752288638,726.0,992.0,109.0,51.0,59.0
42,239.15116279069767,svm,Original,0.45348837209302323,mbert,0.5581395348837209,0.8372093023255814,0.9767441860465116,1.0,1.0,0.6090468497576736,322.0,592.0,269.0,332.0,316.0
43,189.77906976744185,svm,Original,0.5348837209302325,muse,0.6395348837209303,0.8953488372093024,1.0,1.0,1.0,0.6440495422724825,296.0,425.0,73.0,47.0,149.0
44,225.25581395348837,svm,Original,0.36046511627906974,mlongt5,0.46511627906976744,0.8953488372093024,1.0,1.0,1.0,0.6429725363489499,93.0,277.0,101.0,25.0,51.0
45,152.59302325581396,svm,Original,0.5930232558139535,labse,0.6976744186046512,0.9418604651162791,1.0,1.0,1.0,0.721055465805062,506.0,575.0,114.0,13.0,5.0
46,245.9418604651163,svm,Original,0.47674418604651164,laser,0.5813953488372093,0.8604651162790697,0.9651162790697675,0.9883720930232558,1.0,0.6117393645665051,494.0,1146.0,280.0,333.0,82.0
47,206.53488372093022,svm,Original,0.5116279069767442,mpnet,0.6162790697674418,0.9069767441860465,0.9767441860465116,0.9883720930232558,1.0,0.6192784060312332,380.0,1620.0,38.0,56.0,148.0
48,248.4418604651163,svm,Original,0.4069767441860465,minilm,0.5116279069767442,0.8604651162790697,0.9418604651162791,0.9883720930232558,1.0,0.6122778675282714,1122.0,1429.0,140.0,42.0,279.0
49,200.96511627906978,svm,Original,0.46511627906976744,stsb,0.5697674418604651,0.8953488372093024,1.0,1.0,1.0,0.6418955304254174,510.0,488.0,282.0,91.0,237.0
50,148.72093023255815,svm,English,0.6395348837209303,tfidf,0.7441860465116279,0.9186046511627907,0.9883720930232558,1.0,1.0,0.6494345718901454,240.0,743.0,176.0,209.0,67.0
51,119.9186046511628,svm,English,0.6976744186046512,sbert,0.8023255813953488,0.9767441860465116,1.0,1.0,1.0,0.7932148626817448,299.0,861.0,38.0,57.0,41.0
52,252.62790697674419,svm,English,0.43023255813953487,mbert,0.5348837209302325,0.813953488372093,0.9767441860465116,1.0,1.0,0.57619816908993,708.0,916.0,186.0,24.0,23.0
53,189.6046511627907,svm,English,0.5348837209302325,muse,0.6395348837209303,0.9069767441860465,0.9883720930232558,1.0,1.0,0.6025848142164781,197.0,742.0,112.0,48.0,333.0
54,227.77906976744185,svm,English,0.4069767441860465,mlongt5,0.5116279069767442,0.9069767441860465,1.0,1.0,1.0,0.6478190630048465,134.0,327.0,211.0,147.0,97.0
55,155.2325581395349,svm,English,0.6162790697674418,labse,0.7209302325581395,0.9418604651162791,1.0,1.0,1.0,0.7253634894991923,547.0,531.0,45.0,256.0,47.0
56,233.40697674418604,svm,English,0.46511627906976744,laser,0.5697674418604651,0.8488372093023255,0.9767441860465116,0.9883720930232558,1.0,0.5772751750134626,489.0,595.0,285.0,15.0,61.0
57,192.0,svm,English,0.5697674418604651,mpnet,0.6744186046511628,0.9069767441860465,0.9767441860465116,1.0,1.0,0.5659666128163705,221.0,1074.0,59.0,39.0,252.0
58,231.09302325581396,svm,English,0.4418604651162791,minilm,0.5465116279069767,0.8372093023255814,0.9883720930232558,1.0,1.0,0.6241249326871298,194.0,370.0,133.0,45.0,293.0
59,206.41860465116278,svm,English,0.4069767441860465,stsb,0.5116279069767442,0.9186046511627907,0.9883720930232558,1.0,1.0,0.6677436725901993,308.0,453.0,139.0,141.0,206.0
60,215.9418604651163,svm,Multi_1,0.627906976744186,tfidf,0.7325581395348837,0.8953488372093024,0.9302325581395349,0.9534883720930233,0.9767441860465116,0.40549273021001614,1752.0,1461.0,1462.0,1301.0,1705.0
61,130.2674418604651,svm,Multi_1,0.7093023255813954,sbert,0.813953488372093,0.9534883720930233,1.0,1.0,1.0,0.7894453419493808,651.0,673.0,659.0,110.0,80.0
62,255.09302325581396,svm,Multi_1,0.4883720930232558,mbert,0.5930232558139535,0.8255813953488372,0.9767441860465116,1.0,1.0,0.5320409262250942,566.0,751.0,158.0,241.0,752.0
63,192.19767441860466,svm,Multi_1,0.5348837209302325,muse,0.6395348837209303,0.8953488372093024,1.0,1.0,1.0,0.5783521809369951,195.0,723.0,94.0,28.0,477.0
64,237.0,svm,Multi_1,0.3372093023255814,mlongt5,0.4418604651162791,0.8953488372093024,1.0,1.0,1.0,0.6548196015078083,212.0,311.0,309.0,108.0,110.0
65,155.96511627906978,svm,Multi_1,0.5465116279069767,labse,0.6511627906976745,0.9534883720930233,1.0,1.0,1.0,0.7463651050080775,462.0,523.0,116.0,22.0,19.0
66,245.3372093023256,svm,Multi_1,0.4069767441860465,laser,0.5116279069767442,0.8604651162790697,0.9883720930232558,0.9883720930232558,1.0,0.5864297253634895,488.0,812.0,267.0,142.0,106.0
67,215.43023255813952,svm,Multi_1,0.5697674418604651,mpnet,0.6744186046511628,0.872093023255814,0.9651162790697675,0.9883720930232558,1.0,0.6042003231017771,560.0,1656.0,613.0,32.0,291.0
68,252.93023255813952,svm,Multi_1,0.3953488372093023,minilm,0.5,0.8604651162790697,0.9534883720930233,0.9883720930232558,1.0,0.5837372105546581,866.0,1472.0,588.0,38.0,125.0
69,203.74418604651163,svm,Multi_1,0.4883720930232558,stsb,0.5930232558139535,0.8837209302325582,1.0,1.0,1.0,0.6322024771136241,854.0,521.0,372.0,186.0,252.0
70,215.19767441860466,svm,Multi_2,0.6162790697674418,tfidf,0.7209302325581395,0.8837209302325582,0.9302325581395349,0.9534883720930233,0.9883720930232558,0.4297253634894992,1766.0,1489.0,1471.0,1180.0,1606.0
71,121.53488372093024,svm,Multi_2,0.7093023255813954,sbert,0.813953488372093,0.9651162790697675,1.0,1.0,1.0,0.8045234248788369,497.0,709.0,461.0,65.0,80.0
72,265.6860465116279,svm,Multi_2,0.4883720930232558,mbert,0.5930232558139535,0.8372093023255814,0.9651162790697675,0.9883720930232558,1.0,0.5438879913839526,799.0,990.0,613.0,404.0,716.0
73,189.30232558139534,svm,Multi_2,0.5,muse,0.6046511627906976,0.9069767441860465,0.9883720930232558,1.0,1.0,0.6575121163166397,271.0,289.0,220.0,58.0,99.0
74,218.74418604651163,svm,Multi_2,0.43023255813953487,mlongt5,0.5348837209302325,0.9069767441860465,1.0,1.0,1.0,0.6402800215401184,216.0,244.0,234.0,43.0,100.0
75,156.01162790697674,svm,Multi_2,0.6046511627906976,labse,0.7093023255813954,0.9302325581395349,1.0,1.0,1.0,0.6828217555196554,629.0,598.0,36.0,7.0,25.0
76,241.2093023255814,svm,Multi_2,0.45348837209302323,laser,0.5581395348837209,0.8372093023255814,0.9883720930232558,0.9883720930232558,1.0,0.613354873451804,468.0,899.0,235.0,18.0,25.0
77,216.53488372093022,svm,Multi_2,0.5348837209302325,mpnet,0.6395348837209303,0.8837209302325582,0.9651162790697675,0.9883720930232558,1.0,0.5137318255250404,565.0,1447.0,785.0,25.0,82.0
78,274.1860465116279,svm,Multi_2,0.37209302325581395,minilm,0.47674418604651164,0.8255813953488372,0.9418604651162791,0.9767441860465116,1.0,0.4884221863220248,832.0,1394.0,1479.0,30.0,204.0
79,203.5581395348837,svm,Multi_2,0.4883720930232558,stsb,0.5930232558139535,0.8953488372093024,0.9883720930232558,1.0,1.0,0.5756596661281637,412.0,478.0,638.0,54.0,136.0
