,file_name,recall_0.1,recall_0.25,recall_0.5,recall_0.75,recall_0.9,wss_0.95,erf_0.1,atd
0,metrics_sim_Hamilton_English_logistic_minilm_0.json,0.5465116279069767,0.9186046511627907,0.9883720930232558,1.0,1.0,0.6639741518578353,0.4418604651162791,221.36046511627907
1,metrics_sim_Hamilton_English_logistic_mpnet_0.json,0.5581395348837209,0.9302325581395349,1.0,1.0,1.0,0.6709746903607969,0.45348837209302323,195.90697674418604
2,metrics_sim_Hamilton_English_logistic_muse_0.json,0.6744186046511628,0.9534883720930233,1.0,1.0,1.0,0.7108239095315024,0.5697674418604651,159.2093023255814
3,metrics_sim_Hamilton_English_logistic_stsb_0.json,0.43023255813953487,0.8488372093023255,0.9883720930232558,1.0,1.0,0.620893914916532,0.32558139534883723,261.6279069767442
4,metrics_sim_Hamilton_English_svm_minilm_0.json,0.5465116279069767,0.8372093023255814,0.9883720930232558,1.0,1.0,0.6241249326871298,0.4418604651162791,231.09302325581396
5,metrics_sim_Hamilton_English_svm_mpnet_0.json,0.6744186046511628,0.9069767441860465,0.9767441860465116,1.0,1.0,0.5659666128163705,0.5697674418604651,192.0
6,metrics_sim_Hamilton_English_svm_muse_0.json,0.6395348837209303,0.9069767441860465,0.9883720930232558,1.0,1.0,0.6025848142164781,0.5348837209302325,189.6046511627907
7,metrics_sim_Hamilton_English_svm_stsb_0.json,0.5116279069767442,0.9186046511627907,0.9883720930232558,1.0,1.0,0.6677436725901993,0.4069767441860465,206.41860465116278
8,metrics_sim_Hamilton_Multi_1_logistic_minilm_0.json,0.5348837209302325,0.9069767441860465,0.9883720930232558,1.0,1.0,0.6375875067312871,0.43023255813953487,230.74418604651163
9,metrics_sim_Hamilton_Multi_1_logistic_mpnet_0.json,0.5232558139534884,0.9302325581395349,0.9883720930232558,1.0,1.0,0.6844372644049542,0.4186046511627907,212.59302325581396
10,metrics_sim_Hamilton_Multi_1_logistic_muse_0.json,0.6744186046511628,0.9302325581395349,1.0,1.0,1.0,0.6812062466343565,0.5697674418604651,166.11627906976744
11,metrics_sim_Hamilton_Multi_1_logistic_stsb_0.json,0.43023255813953487,0.8604651162790697,0.9883720930232558,1.0,1.0,0.5950457727517501,0.32558139534883723,259.3953488372093
12,metrics_sim_Hamilton_Multi_1_svm_minilm_0.json,0.5,0.8604651162790697,0.9534883720930233,0.9883720930232558,1.0,0.5837372105546581,0.3953488372093023,252.93023255813952
13,metrics_sim_Hamilton_Multi_1_svm_mpnet_0.json,0.6744186046511628,0.872093023255814,0.9651162790697675,0.9883720930232558,1.0,0.6042003231017771,0.5697674418604651,215.43023255813952
14,metrics_sim_Hamilton_Multi_1_svm_muse_0.json,0.6395348837209303,0.8953488372093024,1.0,1.0,1.0,0.5783521809369951,0.5348837209302325,192.19767441860466
15,metrics_sim_Hamilton_Multi_1_svm_stsb_0.json,0.5930232558139535,0.8837209302325582,1.0,1.0,1.0,0.6322024771136241,0.4883720930232558,203.74418604651163
16,metrics_sim_Hamilton_Multi_2_logistic_minilm_0.json,0.5232558139534884,0.8488372093023255,0.9651162790697675,1.0,1.0,0.626278944534195,0.4186046511627907,244.62790697674419
17,metrics_sim_Hamilton_Multi_2_logistic_mpnet_0.json,0.6046511627906976,0.8953488372093024,0.9883720930232558,1.0,1.0,0.6418955304254174,0.5,201.0581395348837
18,metrics_sim_Hamilton_Multi_2_logistic_muse_0.json,0.6511627906976745,0.9418604651162791,1.0,1.0,1.0,0.6935918147549811,0.5465116279069767,162.7325581395349
19,metrics_sim_Hamilton_Multi_2_logistic_stsb_0.json,0.45348837209302323,0.8604651162790697,1.0,1.0,1.0,0.5702746365105008,0.3488372093023256,264.22093023255815
20,metrics_sim_Hamilton_Multi_2_svm_minilm_0.json,0.47674418604651164,0.8255813953488372,0.9418604651162791,0.9767441860465116,1.0,0.4884221863220248,0.37209302325581395,274.1860465116279
21,metrics_sim_Hamilton_Multi_2_svm_mpnet_0.json,0.6395348837209303,0.8837209302325582,0.9651162790697675,0.9883720930232558,1.0,0.5137318255250404,0.5348837209302325,216.53488372093022
22,metrics_sim_Hamilton_Multi_2_svm_muse_0.json,0.6046511627906976,0.9069767441860465,0.9883720930232558,1.0,1.0,0.6575121163166397,0.5,189.30232558139534
23,metrics_sim_Hamilton_Multi_2_svm_stsb_0.json,0.5930232558139535,0.8953488372093024,0.9883720930232558,1.0,1.0,0.5756596661281637,0.4883720930232558,203.5581395348837
24,metrics_sim_Hamilton_Original_logistic_minilm_0.json,0.5465116279069767,0.8837209302325582,0.9883720930232558,1.0,1.0,0.6445880452342488,0.4418604651162791,225.06976744186048
25,metrics_sim_Hamilton_Original_logistic_mpnet_0.json,0.5581395348837209,0.9186046511627907,0.9883720930232558,1.0,1.0,0.6666666666666666,0.45348837209302323,205.8953488372093
26,metrics_sim_Hamilton_Original_logistic_muse_0.json,0.6744186046511628,0.9418604651162791,1.0,1.0,1.0,0.7049003769520732,0.5697674418604651,158.77906976744185
27,metrics_sim_Hamilton_Original_logistic_stsb_0.json,0.4069767441860465,0.8604651162790697,0.9883720930232558,1.0,1.0,0.5945072697899838,0.3023255813953488,270.0
28,metrics_sim_Hamilton_Original_svm_minilm_0.json,0.5116279069767442,0.8604651162790697,0.9418604651162791,0.9883720930232558,1.0,0.6122778675282714,0.4069767441860465,248.4418604651163
29,metrics_sim_Hamilton_Original_svm_mpnet_0.json,0.6162790697674418,0.9069767441860465,0.9767441860465116,0.9883720930232558,1.0,0.6192784060312332,0.5116279069767442,206.53488372093022
30,metrics_sim_Hamilton_Original_svm_muse_0.json,0.6395348837209303,0.8953488372093024,1.0,1.0,1.0,0.6440495422724825,0.5348837209302325,189.77906976744185
31,metrics_sim_Hamilton_Original_svm_stsb_0.json,0.5697674418604651,0.8953488372093024,1.0,1.0,1.0,0.6418955304254174,0.46511627906976744,200.96511627906978
